% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=1049726, Sun Mar 22 21:54:11 2020, <python>{}</python>
1 10 9.71542882913199e-05 1.0000444454321133 -0.6455318212991268 -6.4553182129912678e-01 -0.4485505509561114 -0.3249007298596349   
2 20 0.00010328791023643251 1.1639566548235745 -0.6455318212991268 -6.3487683334682177e-01 -0.42267915048472826 -0.3304430857956571   
3 30 0.00010315076612428424 1.323924890263167 -0.7753520862655502 -7.7535208626555019e-01 -0.4270957061335767 -0.30305181544850296   
4 40 9.929612071956881e-05 1.3859281243307213 -0.7753520862655502 -6.1050607210944063e-01 -0.4446086182965968 -0.3093098520890761   
5 50 0.00010002969424090141 1.3757750026069253 -0.7753520862655502 -7.1592023696731755e-01 -0.4020221374129267 -0.36294939127062764   
6 60 0.00010645490869758997 1.4905529360777732 -0.7753520862655502 -6.3314619494849156e-01 -0.4916460799209803 -0.41699668830997194   
7 70 0.000118796267890296 1.5636040254835848 -0.7753520862655502 -5.8630053593241416e-01 -0.46601584318741257 -0.35124825604378207   
8 80 0.00012915203388464541 1.6576216459494926 -0.7753520862655502 -7.1211035643045451e-01 -0.378465477921883 -0.32230581545781695   
9 90 0.00013056306404779643 1.7980021842995872 -0.7753520862655502 -6.1569937420973664e-01 -0.4100948780800275 -0.36737612715872636   
10 100 0.00013125267002010198 1.8289099198417111 -0.7753520862655502 -6.5589565243312653e-01 -0.5045667330814712 -0.41295031341433913   
11 110 0.0001295165637592276 2.027077612747215 -0.7753520862655502 -7.1319379901289148e-01 -0.432140193455307 -0.35645020450873366   
