% # columns="iter, evals, sigma, 0, fitness, xbest" seed=1049726, Sun Mar 22 21:54:11 2020, <python>{}</python>
1 10 9.71542882913199e-05 0 -0.6455318212991268 0.07969871870880518 -0.07944733035969101 0.02981999672190436 0.030094168028079984 0.09943457939304244 0.12003647217318932 0.061033043823631165 0.5005794153058872 9.999958824441828
2 20 0.00010328791023643251 0 -0.6348768333468218 0.07982211308268944 -0.07946021164665773 0.029756626543552375 0.03014882891006264 0.09934388892014759 0.12021965979452601 0.06103324008025039 0.5005543129053449 10.000094934688784
3 30 0.00010315076612428424 0 -0.7753520862655502 0.07982912530473613 -0.07932598823145892 0.029569206286340716 0.030198062653915045 0.09947983905805191 0.12012513570701057 0.0609921010760444 0.5004794055075337 10.000021592142097
4 40 9.929612071956881e-05 0 -0.6105060721094406 0.07995789127469395 -0.07940199970292974 0.029820220607731002 0.030108423023646795 0.09937395077468565 0.12009914906010183 0.061022098534738355 0.5005432426469026 10.00000222131559
5 50 0.00010002969424090141 0 -0.7159202369673175 0.07986017416364243 -0.07960899309379148 0.02983297139834136 0.030279828188081354 0.09947434627751588 0.12025467946520982 0.061058550017359624 0.5004162547557737 9.99987843949684
6 60 0.00010645490869758997 0 -0.6331461949484916 0.07991511686712242 -0.07962850124627739 0.030004661933209515 0.030047602591593125 0.09947469524884867 0.12029846060790712 0.06107628713123101 0.5005257380153889 9.999877519077803
7 70 0.000118796267890296 0 -0.5863005359324142 0.07980899449227166 -0.07975156999328276 0.030006884988253723 0.03003712172943034 0.09934531550088319 0.12020121903506846 0.061092403214678306 0.5002215778412668 9.999800817081956
8 80 0.00012915203388464541 0 -0.7121103564304545 0.07982666371589207 -0.0797617711397789 0.030143302775776433 0.029910729391650025 0.09946967313257234 0.12019923906478096 0.0611485215178085 0.500209959562646 9.999878726347967
9 90 0.00013056306404779643 0 -0.6156993742097366 0.07997958562088417 -0.07963240950351919 0.03015339068312979 0.03002683531344734 0.0994942615848183 0.12023625540863138 0.061075288053246364 0.5003955411264919 10.000000588586389
10 100 0.00013125267002010198 0 -0.6558956524331265 0.07983562986533213 -0.07960759793596231 0.030215303795751186 0.02993490757835068 0.09948674547907156 0.120350409770116 0.06095821767590449 0.500525498022821 10.000133628276773
11 110 0.0001295165637592276 0 -0.7131937990128915 0.07979415182295363 -0.07974817211252896 0.0303196647729007 0.02985644934633123 0.09954095581386757 0.12033313614168016 0.061013216500535684 0.500499063766168 10.000017096054185
