% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principle axes lengths  (sorted square roots of eigenvalues of C)", seed=1049726, Sun Mar 22 21:54:11 2020
1 10 9.71542882913199e-05 1.0000444454321133 1.0 1.0 1.0000055555709877 1.0000111111728396 1.0000166668055563 1.0000222224691375 1.0000277781635838 1.0000333338888951 1.0000388896450716 1.0000444454321133
2 20 0.00010328791023643251 1.0861556221114568 0.9331581357521339 0.9331581357521339 0.9569892541274154 0.9632249769520942 0.9838171359422888 0.9968789773712627 1.0003595724395666 1.006613011275142 1.0242870533868556 1.0861556221114568
3 30 0.00010315076612428424 1.1847352220152016 0.8948658875804522 0.8948658875804522 0.9192051838010524 0.9478932720805533 0.9558292166814857 0.9774092350913395 1.0036141267504488 1.0117453833761736 1.0656429442080948 1.1847352220152016
4 40 9.929612071956881e-05 1.199187963525097 0.8652598518441907 0.8652598518441907 0.8874524677862294 0.9162371847463513 0.9610697429285282 0.9739955743137523 1.0122966818322585 1.0311371892712675 1.0699519005817495 1.199187963525097
5 50 0.00010002969424090141 1.1827680373162335 0.8597103705729736 0.8597103705729736 0.8915099759538059 0.89805080427197 0.9370041034751487 0.9611402290537658 1.0175609472180653 1.034395404175794 1.0507233897489752 1.1827680373162335
6 60 0.00010645490869758997 1.2312829063643054 0.8260578182511864 0.8260578182511864 0.8866517440265878 0.9011444032876221 0.9159635332325877 0.9526455999358845 1.007019470309616 1.0466419384584165 1.0746860830098317 1.2312829063643054
7 70 0.000118796267890296 1.2479009089160065 0.7980926683340183 0.7980926683340183 0.8585982282663083 0.8988704575887321 0.9088141169563579 0.9429128307822652 1.0138583944524004 1.0508099812996132 1.1636727965333804 1.2479009089160065
8 80 0.00012915203388464541 1.3438204027874976 0.810691876563757 0.810691876563757 0.8441731967535459 0.9057166430163376 0.9356812848342446 0.937073137587634 0.9914578314800406 1.0270984191057777 1.1611432926540333 1.3438204027874976
9 90 0.00013056306404779643 1.4404344160811795 0.8011305151124172 0.8011305151124172 0.8405178423867765 0.8603898342364686 0.9207568779909713 0.9364837475811255 0.983623819158831 1.0221919931427161 1.1361559574408002 1.4404344160811795
10 100 0.00013125267002010198 1.4485255143705358 0.7920157787191089 0.7920157787191089 0.8412197683797045 0.8583400613197053 0.9156650892069736 0.9287619836023893 0.9898772349288943 1.0067108454139422 1.108661738994946 1.4485255143705358
11 110 0.0001295165637592276 1.4794348159381046 0.7298362956774443 0.7298362956774443 0.8354360218995786 0.8585940846223068 0.9175317368686122 0.9502079943044154 0.981026934009181 1.0181127637481437 1.119060425455715 1.4794348159381046
